Fecha,ALICORP,CREDICORP,FERREYCORP,SOUTHERN
2025-08-19,9.18,253.2,3.37,96.0
2025-08-20,9.18,249.75,3.37,94.25
2025-08-21,9.0,247.8,3.37,93.84
2025-08-22,8.7,250.9,3.35,93.85
2025-08-25,8.7,255.0,3.34,97.33
2025-08-26,8.9,252.8,3.34,97.62
2025-08-27,8.93,252.0,3.33,97.62
2025-08-28,8.8,252.65,3.34,96.0
2025-08-29,8.9,255.88,3.43,96.0
2025-09-01,8.9,256.0,3.43,96.0
2025-09-02,8.7,257.0,3.49,96.0
2025-09-03,8.9,259.5,3.47,97.0
2025-09-04,8.72,261.35,3.48,100.76
2025-09-05,8.8,260.5,3.48,100.7
2025-09-08,8.8,261.5,3.47,103.0
2025-09-09,8.8,263.0,3.48,103.5
2025-09-10,8.9,265.75,3.46,100.03
2025-09-11,8.95,262.85,3.45,100.03
2025-09-12,8.99,266.0,3.34,105.46
2025-09-15,8.9,266.68,3.37,105.4
2025-09-16,9.0,265.5,3.34,109.78
2025-09-17,8.87,271.2,3.36,109.1
2025-09-18,8.74,276.0,3.36,107.24
2025-09-19,8.7,262.0,3.34,107.35
2025-09-22,8.6,262.35,3.37,109.75
2025-09-23,8.61,265.95,3.37,111.64
2025-09-24,8.61,267.5,3.36,110.27
2025-09-25,8.6,265.1,3.37,118.82
2025-09-26,8.8,261.7,3.35,118.5
2025-09-29,8.78,262.9,3.32,118.5
2025-09-30,8.78,267.72,3.35,121.36
2025-10-01,8.78,264.9,3.31,121.0
2025-10-02,8.84,261.3,3.33,122.7
2025-10-03,8.87,259.3,3.33,125.15
2025-10-06,8.89,263.57,3.34,128.5
2025-10-07,9.45,264.0,3.33,131.0
2025-10-09,9.4,262.82,3.33,127.25
2025-10-10,9.4,261.9,3.31,133.1
2025-10-13,9.26,256.9,3.32,125.71
2025-10-14,9.2,258.53,3.39,133.54
2025-10-15,9.25,255.0,3.37,132.41
2025-10-16,9.25,255.0,3.37,132.05
2025-10-17,9.28,252.54,3.35,133.7
2025-10-20,9.3,252.0,3.34,130.0
2025-10-21,9.28,254.28,3.35,134.6
2025-10-22,9.15,253.5,3.3,128.81
2025-10-23,9.2,253.5,3.3,127.05
2025-10-24,9.2,256.15,3.32,128.81
2025-10-27,9.2,258.5,3.3,129.2
2025-10-28,9.2,257.68,3.32,133.1
2025-10-29,9.3,261.0,3.31,138.2
2025-10-30,9.3,263.5,3.32,143.12
2025-10-31,9.25,260.75,3.32,140.0
