,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,3998.0,999999.0,3457.0,4190.0,3457.0,4190.0,3463.0,3457.0,3457.0,4190.0,3463.0,3457.0,4190.0,4190.0,5130.0,4190.0,4190.0,3457.0,5130.0,5130.0,5130.0,4190.0,3457.0,3457.0,5130.0,3463.0,3463.0,3463.0,3998.0,3457.0,999999.0,4190.0,4190.0,3463.0,4190.0,4190.0,4190.0,5130.0,5130.0,4190.0,4190.0,3457.0,4190.0,3998.0,5190.0,4190.0,4190.0,999999.0
11,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,3371.0,999999.0,999999.0,999999.0,3371.0,3371.0,3371.0,999999.0,999999.0,999999.0,3371.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,3371.0,3371.0,999999.0,999999.0,999999.0,999999.0,999999.0,4330.0,999999.0,999999.0,999999.0
12,999999.0,999999.0,999999.0,8926.0,999999.0,8926.0,999999.0,999999.0,999999.0,8926.0,999999.0,999999.0,8926.0,8926.0,999999.0,8926.0,8926.0,11600.0,999999.0,999999.0,999999.0,8926.0,11600.0,11600.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,8926.0,8926.0,999999.0,8926.0,8926.0,8926.0,999999.0,999999.0,8926.0,8926.0,999999.0,8926.0,999999.0,999999.0,8926.0,8926.0,999999.0
13,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,5508.0,999999.0,999999.0,999999.0,5508.0,5508.0,5508.0,999999.0,999999.0,999999.0,5508.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,5508.0,5508.0,999999.0,999999.0,999999.0,999999.0,999999.0,6540.0,999999.0,999999.0,999999.0
14,2908.0,999999.0,2515.0,3048.0,2515.0,3048.0,2519.0,2515.0,2515.0,3048.0,2519.0,2515.0,3048.0,3048.0,2607.0,3048.0,3048.0,2515.0,2607.0,2607.0,2607.0,3048.0,2515.0,2515.0,2607.0,2519.0,2519.0,2519.0,2908.0,2515.0,2515.0,3048.0,3048.0,2519.0,3048.0,3048.0,3048.0,2607.0,2607.0,3048.0,3048.0,2515.0,3048.0,2908.0,4056.0,3048.0,3048.0,999999.0
15,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,5686.0,999999.0,999999.0,999999.0,5686.0,5686.0,5686.0,999999.0,999999.0,999999.0,5686.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,5686.0,5686.0,999999.0,999999.0,999999.0,999999.0,999999.0,5703.0,999999.0,999999.0,999999.0
16,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,6191.0,999999.0,999999.0,999999.0,6191.0,6191.0,6191.0,999999.0,999999.0,999999.0,6191.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,6191.0,6191.0,999999.0,999999.0,999999.0,999999.0,999999.0,6394.0,999999.0,999999.0,999999.0
17,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,6191.0,999999.0,999999.0,999999.0,6191.0,6191.0,6191.0,999999.0,999999.0,999999.0,6191.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,6191.0,6191.0,999999.0,999999.0,999999.0,999999.0,999999.0,6394.0,999999.0,999999.0,999999.0
18,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,9841.0,999999.0,999999.0,999999.0,9841.0,9841.0,9841.0,999999.0,999999.0,999999.0,9841.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,9841.0,9841.0,999999.0,999999.0,999999.0,999999.0,999999.0,12953.0,999999.0,999999.0,999999.0
19,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,6191.0,999999.0,999999.0,999999.0,6191.0,6191.0,6191.0,999999.0,999999.0,999999.0,6191.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,6191.0,6191.0,999999.0,999999.0,999999.0,999999.0,999999.0,6394.0,999999.0,999999.0,999999.0
